# Time-correlated data for fix ave2
# Time v_pxy*v_pxy v_pxz*v_pxz v_pyz*v_pyz v_pxxyy*v_pxxyy v_pxxzz*v_pxxzz v_pyyzz*v_pyyzz
# Timestep: 9363456
0 2292.8 2305.46 2279.36 9156.71 9160.84 9148.83 
5 2173.93 2186.58 2160.47 8689.98 8694.36 8682.33 
10 1987.31 1999.89 1973.7 7950.97 7956.1 7943.93 
15 1786.23 1798.71 1772.36 7145.1 7151.7 7139.39 
20 1594.51 1606.71 1580.42 6374.38 6382.71 6370.07 
25 1424.37 1436.22 1410.09 5688.92 5698.89 5685.73 
30 1279.81 1291.26 1265.38 5106.27 5117.2 5103.89 
35 1160.07 1171.05 1145.49 4623.92 4635.33 4621.98 
40 1062.19 1072.7 1047.57 4230.43 4242.03 4228.65 
45 982.612 992.639 967.993 3910.64 3922.48 3909.27 
50 917.725 927.391 903.078 3649.53 3661.84 3649.03 
55 864.294 873.637 849.513 3434.12 3447.02 3434.69 
60 819.565 828.654 804.759 3254.13 3267.64 3255.38 
65 781.499 790.417 766.807 3100.84 3114.97 3102.7 
70 748.51 757.141 734.069 2967.88 2982.86 2970.36 
75 719.408 727.703 705.264 2851.09 2866.83 2854.23 
80 693.917 701.868 680.078 2749.33 2765.77 2753.27 
90 648.388 655.831 635.097 2567.73 2585.34 2573.37 
100 609.772 617.258 596.754 2414.54 2433.01 2421.14 
110 576.868 584.355 563.33 2283.3 2302.6 2289.61 
120 548.416 555.801 534.245 2170.92 2188.99 2175.5 
130 523.181 530.935 508.758 2073.32 2090.03 2076.35 
140 500.9 509.123 486.434 1986.4 2004.6 1988.88 
150 481.676 490.257 467.093 1908.44 1930.04 1911.74 
160 464.738 474.074 451.255 1840.85 1864.51 1844.93 
180 434.779 445.511 424.224 1724.06 1748.09 1730.11 
200 410.799 422.323 402.381 1628.49 1654.95 1639.93 
220 392.104 403.557 383.388 1547.19 1578.42 1564.49 
240 377.067 388.249 367.754 1484.01 1514.49 1501.03 
260 363.707 375.436 354.128 1433.22 1464.07 1447.74 
280 351.125 363.591 342.552 1386.82 1421.67 1402.58 
300 340.271 352.901 331.97 1346.3 1384.45 1361.4 
320 330.848 343.201 323.315 1311.85 1349.3 1327.66 
360 315.99 326.44 307.183 1246.72 1279.72 1265.32 
400 304.48 313.191 293.152 1191.09 1222.01 1213.59 
440 292.025 302.007 280.603 1141.18 1170.18 1161.22 
480 280.737 291.006 270.807 1102.39 1133.42 1117.52 
520 271.573 283.055 260.018 1071.94 1103.25 1079.87 
560 264.113 275.031 250.559 1038.21 1069.31 1047.63 
600 258.412 266.909 243.772 1006.99 1041.64 1017.01 
640 252.376 260.265 238.894 982.603 1013 998.408 
720 243.45 249.927 228.369 933.955 967.742 959.071 
800 231.688 241.228 218.57 897.548 918.818 918.855 
880 224.511 232.479 209.126 857.606 885.62 886.118 
960 217.982 224.423 201.62 830.203 870.037 863.054 
1040 212.781 216.345 194.701 823.361 856.472 837.799 
1120 205.501 212.632 188.274 800.615 824.766 812.082 
1200 200.471 208.173 182.014 777.462 806.573 790.118 
1280 197.481 204.19 179.156 758.125 790.504 773.227 
1440 189.677 192.767 171.914 723.525 755.241 732.261 
1600 182.228 184.076 162.252 702.279 733.353 710.706 
1760 176.643 175.809 157.555 683.743 698.016 688.648 
1920 170.101 170.513 152.159 681.222 682.99 673.967 
2080 166.445 169.883 150.425 643.915 658.238 642.762 
2240 160.058 165.417 146.957 617.099 642.425 618.85 
