TimeStep 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30<
0 0 0 0 1 3 5 8 12 13 16 10 10 5 5 5 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0
100 0 0 0 1 3 5 8 12 13 16 10 10 5 5 5 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0
200 0 0 0 1 3 5 8 12 13 16 10 10 5 5 5 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0
300 0 0 0 1 3 5 8 12 13 16 10 10 5 5 5 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0
400 0 0 0 1 3 5 8 12 13 16 10 10 5 5 5 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0
500 0 0 0 1 3 5 8 12 13 16 10 10 5 5 5 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0
600 0 0 0 1 3 5 8 12 13 16 10 10 5 5 5 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0
700 0 0 0 1 3 5 8 12 13 16 10 10 5 5 5 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0
800 0 0 0 1 3 5 8 12 13 16 10 10 5 5 5 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0
900 0 0 0 1 3 5 8 12 13 16 10 10 5 5 5 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0
1000 0 0 0 1 3 5 8 12 13 16 10 10 5 5 5 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0
