TimeStep 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30<
5000000 0 0 1 2 2 6 5 8 4 6 3 8 5 9 3 6 4 3 4 2 1 0 0 1 0 0 0 1 0 0
5000010 0 0 1 2 2 6 5 8 4 6 3 8 5 9 3 6 4 3 4 2 1 0 0 1 0 0 0 1 0 0
5000020 0 0 1 2 2 6 5 8 4 6 3 8 5 9 3 6 4 3 4 2 1 0 0 1 0 0 0 1 0 0
5000030 0 0 1 2 2 6 5 8 4 6 3 8 5 9 3 6 4 3 4 2 1 0 0 1 0 0 0 1 0 0
5000040 0 0 1 2 2 6 5 8 4 6 3 8 5 9 3 6 4 3 4 2 1 0 0 1 0 0 0 1 0 0
5000050 0 0 1 2 2 6 5 8 4 6 3 8 5 9 3 6 4 3 4 2 1 0 0 1 0 0 0 1 0 0
5000060 0 0 1 2 2 6 5 8 4 6 3 8 5 9 3 6 4 3 4 2 1 0 0 1 0 0 0 1 0 0
5000070 0 0 1 2 2 6 5 8 4 6 3 8 5 9 3 6 4 3 4 2 1 0 0 1 0 0 0 1 0 0
5000080 0 0 1 2 2 6 5 8 4 6 3 8 5 9 3 6 4 3 4 2 1 0 0 1 0 0 0 1 0 0
5000090 0 0 1 2 2 6 5 8 4 6 3 8 5 9 3 6 4 3 4 2 1 0 0 1 0 0 0 1 0 0
5000100 0 0 1 2 2 6 5 8 4 6 3 8 5 9 3 6 4 3 4 2 1 0 0 1 0 0 0 1 0 0
