LAMMPS data file via create_A-model.py, version 13 Dec 2022

12288 atoms
1 atom types
11776 bonds
1 bond types
11264 angles
1 angle types
10752 dihedrals
1 dihedral types

-75.0 75.0 xlo xhi
-75.0 75.0 ylo yhi
-75.0 75.0 zlo zhi

Masses

1 68.117

Atoms # molecular

1 1 1 4.370185373113998 10.006046810445952 -1.3563357859456175 0 0 0
2 1 1 1.4254316865014118 10.067747149472012 2.7083678985392226 0 0 0
3 1 1 2.5746865434011 12.099455393029984 7.110260861089131 0 0 0
4 1 1 7.386451420137433 11.978190430370134 8.54853535015566 0 0 0
5 1 1 10.516337620601107 15.057289552062201 6.1153276833253045 0 0 0
6 1 1 14.641974968957072 16.385345629633434 8.605199299556077 0 0 0
7 1 1 14.345122479217807 20.200862352933086 11.821478146924335 0 0 0
8 1 1 15.036692800151812 19.08982939880397 16.6445621609395 0 0 0
9 1 1 14.994627955563615 21.117469293309966 21.23632885421111 0 0 0
10 1 1 18.48997262642345 18.937979351243683 24.06900368898556 0 0 0
11 1 1 18.795561852884916 22.76656042876823 27.2767676813845 0 0 0
12 1 1 17.83605004410113 22.67250141420746 32.18772896270927 0 0 0
13 1 1 21.673120024839804 23.888689594342367 35.153992507775826 0 0 0
14 1 1 21.85508999705752 27.421689915318055 38.7037160462862 0 0 0
15 1 1 17.772678382935865 30.010275181535235 40.00412866568465 0 0 0
16 1 1 17.277364727100576 34.4527503287039 37.790350776893604 0 0 0
17 1 1 19.293487457294574 38.53204780985982 39.86176409806532 0 0 0
18 1 1 22.862453221322355 41.33414223169214 37.755651316040456 0 0 0
19 1 1 24.35591019180437 39.64763811323195 33.284429847422345 0 0 0
20 1 1 28.381229644324677 39.456505314114935 30.318958157905655 0 0 0
21 1 1 31.710381009969183 43.11978421543975 29.721336201443933 0 0 0
22 1 1 31.24304446038417 47.783309815834016 31.46733197719327 0 0 0
23 1 1 34.93286010427411 50.89512689337518 32.75168901058353 0 0 0
24 1 1 33.90335770621145 55.79138424140032 32.889687853172234 0 0 0
25 2 1 56.212662864198336 20.145690866413872 -23.83528948637842 0 0 0
26 2 1 54.2145420844158 16.672014589686825 -26.828120207961945 0 0 0
27 2 1 53.371868295559295 21.6195937846648 -26.73242263608749 0 0 0
28 2 1 48.74643777047555 23.494164104747412 -26.395771923684052 0 0 0
29 2 1 47.63722125629759 27.526450238411485 -23.64443167420552 0 0 0
30 2 1 50.71126641002721 31.43665166710332 -23.11971528034109 0 0 0
31 2 1 55.65956452323047 30.96088425212379 -23.435467494939083 0 0 0
32 2 1 57.59037001394543 26.48918411918767 -22.34323310954028 0 0 0
33 2 1 62.38611778441657 27.847710660824404 -22.450783305151965 0 0 0
34 2 1 63.39598727970548 32.57261820332556 -23.753651190173272 0 0 0
35 2 1 60.19248518524705 36.27849596293886 -24.78341304356978 0 0 0
36 2 1 61.94200256401825 40.87611157463242 -25.745128877841886 0 0 0
37 2 1 62.46336452351116 44.50720735622586 -22.33493516701921 0 0 0
38 2 1 60.24228214195844 43.078183417488844 -18.08715074678772 0 0 0
39 2 1 59.939374037343185 45.39549189787738 -13.660784389165023 0 0 0
40 2 1 63.31177782951343 43.454133861512304 -10.503399086693847 0 0 0
41 2 1 61.08099325645972 39.24916095264206 -9.004540227391445 0 0 0
42 2 1 57.69210556433967 41.38208465442992 -5.98517920115944 0 0 0
43 2 1 53.54146093207956 38.8302462943747 -4.8117802673938 0 0 0
44 2 1 54.41242069015502 33.90007587700842 -4.693796901054441 0 0 0
45 2 1 55.093066713589735 37.10616532709281 -0.9234868892797437 0 0 0
46 2 1 51.75236462121693 35.58146207698957 2.467306859764335 0 0 0
47 2 1 54.216064090861124 32.92510598741558 5.899965292451043 0 0 0
48 2 1 53.09193043961707 37.31924796032045 8.012493328113052 0 0 0
49 3 1 -7.9194956284965485 -53.213653386612265 -45.498709965603425 0 0 0
50 3 1 -3.3631751104398404 -52.62136437564918 -47.465974992819824 0 0 0
51 3 1 0.11455847966352906 -56.12091486736283 -46.6490391185166 0 0 0
52 3 1 -2.684613708373334 -59.265725072214394 -43.94734168905019 0 0 0
53 3 1 -7.687333666569742 -59.026797076268586 -43.791657263961966 0 0 0
54 3 1 -10.816313300029066 -55.140292831204206 -43.728630220376175 0 0 0
55 3 1 -11.563439809586498 -51.89863079851855 -47.469057311220524 0 0 0
56 3 1 -8.092508768104395 -48.358511182485174 -48.32181489902815 0 0 0
57 3 1 -7.986730713066919 -45.39430275565459 -52.34146752155763 0 0 0
58 3 1 -9.333495677133598 -40.70281029849915 -51.27197219567749 0 0 0
59 3 1 -10.11036278878035 -39.1434383703761 -46.56880013676758 0 0 0
60 3 1 -11.389899178273623 -42.63064229002384 -43.19925106471387 0 0 0
61 3 1 -10.790285230308598 -47.467460815674414 -42.12771688525647 0 0 0
62 3 1 -14.166753909002523 -44.16517535386348 -43.72269684261864 0 0 0
63 3 1 -14.491515854819383 -39.325835161206854 -42.51326295773494 0 0 0
64 3 1 -10.48344007484863 -36.55130090701776 -41.344212239804456 0 0 0
65 3 1 -7.328599906870622 -38.83641272854369 -38.2085215607423 0 0 0
66 3 1 -3.8935043961246976 -39.69276493503065 -41.714726540362484 0 0 0
67 3 1 0.8463361566525691 -39.91008043982525 -40.093896837300704 0 0 0
68 3 1 4.287888347995121 -37.525063811905895 -42.79649652981005 0 0 0
69 3 1 6.389229303359116 -39.53797409129289 -46.85148104274623 0 0 0
70 3 1 8.972563955829287 -43.65184045083465 -48.066944607917435 0 0 0
