LAMMPS data file via create_A-model.py, version 13 Dec 2022

25088 atoms
2 atom types
24576 bonds
2 bond types
24064 angles
2 angle types
23552 dihedrals
2 dihedral types

-75.0 75.0 xlo xhi
-75.0 75.0 ylo yhi
-75.0 75.0 zlo zhi

Masses

1 28.0531
2 40.0637

Atoms # molecular

1 1 1 -1.9871423105276733 -59.858227074651104 -14.456507707771337 0 0 0
2 1 2 -1.8069218405858436 -58.87957225939252 -16.727985818961102 0 0 0
3 1 1 -4.786197330382095 -59.35880216871031 -17.37581386291248 0 0 0
4 1 2 -7.241304089016069 -58.995397013586 -17.709301228273326 0 0 0
5 1 1 -6.618934221073204 -56.13051058995495 -16.73760897750413 0 0 0
6 1 2 -6.2941819594061315 -53.80939992697141 -15.852192873030155 0 0 0
7 1 1 -8.964156557906989 -53.05264625431556 -17.22097197428218 0 0 0
8 1 2 -11.045085545264648 -52.79541292575412 -18.576880461494873 0 0 0
9 1 1 -12.863798169572192 -53.74803598804917 -16.257961322429324 0 0 0
10 1 2 -14.580382915609768 -53.11648968506615 -14.554015367962847 0 0 0
11 1 1 -12.97549457934462 -54.542440601522586 -12.323636004612027 0 0 0
12 1 2 -11.637971954588387 -56.651167687496795 -12.594258999485838 0 0 0
13 1 1 -13.218757475783114 -57.0976556326152 -15.222901810035488 0 0 0
14 1 2 -14.96733857721938 -57.747327309426595 -16.912403102089563 0 0 0
15 1 1 -16.78993303382145 -57.34816790343038 -14.443232423978252 0 0 0
16 1 2 -18.189381070308677 -56.98063294975456 -12.38100567288334 0 0 0
17 1 1 -18.171673035640495 -53.87496017914665 -12.218826692167575 0 0 0
18 1 2 -18.47556227172815 -51.389633772139426 -12.276730370533677 0 0 0
19 1 1 -19.214089290331472 -51.572065719817665 -15.277286569927973 0 0 0
20 1 2 -19.559014514118914 -51.571753651551305 -17.76885028006877 0 0 0
21 1 1 -20.892135636191234 -48.77577336159871 -17.719203259245027 0 0 0
22 1 2 -22.001700336086593 -46.54019591407295 -17.90935942312214 0 0 0
23 1 1 -19.64356717147961 -46.047644465616585 -19.88187485815518 0 0 0
24 1 2 -17.751062587198163 -45.534780741659105 -21.415876550604928 0 0 0
25 1 1 -17.705283511479664 -42.43161083245829 -21.10876446234137 0 0 0
26 1 2 -17.5534921230811 -39.99033618705517 -20.649382703182 0 0 0
27 1 1 -15.916233378629798 -40.54903652985152 -18.066705575091106 0 0 0
28 1 2 -14.97979054918482 -40.23831956794405 -15.762661618149082 0 0 0
29 1 1 -17.196236958330402 -42.28007264969699 -15.02145333828144 0 0 0
30 1 2 -15.981510841269888 -43.26293751915698 -13.064119592874746 0 0 0
31 1 1 -14.684192331900213 -40.90664933538145 -11.521912290383234 0 0 0
32 1 2 -13.658101845937999 -38.99592542880403 -10.265186363439895 0 0 0
