LAMMPS data file via create_straight_chains.py, version 14 Dec 2022

12288 atoms
1 atom types
11776 bonds
1 bond types
11264 angles
1 angle types
10752 dihedrals
1 dihedral types

-75.0 75.0 xlo xhi
-75.0 75.0 ylo yhi
-75.0 75.0 zlo zhi

Masses

1 68.117

Atoms # molecular

1 1 1 -59.707276672436564 65.83883018852111 22.986430877664333 0 0 0
2 1 1 -58.901322436071055 61.53929882091941 20.55700956626991 0 0 0
3 1 1 -61.19567441415385 65.0585657758077 23.27905152392779 0 0 0
4 1 1 -65.56607881877959 64.79604834634173 25.701086337824265 0 0 0
5 1 1 -69.28816239061639 62.911740214349464 22.947671672817435 0 0 0
6 1 1 -70.52127812332482 66.76467723011572 20.002569189301127 0 0 0
7 1 1 -73.13278241052976 70.47130497571499 22.10977550405657 0 0 0
8 1 1 73.52609146580502 73.32972514906314 19.759119503832395 -1 0 0
9 1 1 69.19437923190299 71.41852712365426 18.12088209685389 -1 0 0
10 1 1 65.88599340936003 71.18990782365907 21.840098485183717 -1 0 0
11 1 1 65.17273306200872 66.79799210976915 24.112099067832432 -1 0 0
12 1 1 60.805642648755764 66.47227822668015 26.517433237212998 -1 0 0
13 1 1 58.55706575115573 70.62949058656613 28.10617573897939 -1 0 0
14 1 1 58.65988101217903 74.98851969700138 25.647279833089797 -1 0 0
15 1 1 63.31645547481486 -73.16418626842409 25.966809643809825 -1 1 0
16 1 1 64.52593753732219 -69.56193239811489 22.691631604529775 -1 1 0
17 1 1 65.63500420861772 -69.95618974300095 17.842612250810134 -1 1 0
18 1 1 65.98624770849727 -65.87927731550249 14.959086712393457 -1 1 0
19 1 1 62.953579583259256 -61.91207387124106 15.011336219204551 -1 1 0
20 1 1 65.00879765475636 -57.357223861970766 14.887395969589036 -1 1 0
21 1 1 62.54173416867687 -54.05548487053173 12.082560514895931 -1 1 0
22 1 1 63.02474589414328 -55.29180150039548 7.269248655310889 -1 1 0
23 1 1 64.1616453510448 -50.537772692873716 6.254623773483573 -1 1 0
24 1 1 67.00969924435327 -48.13976751689009 9.605845501105293 -1 1 0
25 2 1 69.8819619988395 -24.35924253312664 -35.43739084949063 0 0 0
26 2 1 66.74295715006252 -20.68168570174155 -36.76127118518087 0 0 0
27 2 1 62.34635724183286 -21.278958703035464 -39.05310208224711 0 0 0
28 2 1 61.37394108636795 -18.4564473974568 -43.072375867948935 0 0 0
29 2 1 57.934388231255156 -14.825101231024831 -43.00758755640385 0 0 0
30 2 1 57.50537670580172 -11.803258505656522 -39.03936239551538 0 0 0
31 2 1 56.22712918826994 -6.993525565413776 -39.388245289952465 0 0 0
32 2 1 52.303668271076305 -5.210105392225984 -36.87819303931358 0 0 0
33 2 1 51.217930879962125 -0.3471610836310077 -36.85156452327108 0 0 0
34 2 1 54.544779303227955 2.71841947901099 -34.723442025501804 0 0 0
35 2 1 53.318375778221736 6.134795601847998 -31.268689263724845 0 0 0
36 2 1 52.54975456444794 4.3896984366664356 -26.635230846377695 0 0 0
37 2 1 48.79766341253571 1.4339750176489048 -28.122004795575442 0 0 0
38 2 1 47.640517337384495 4.8964732962305675 -31.544587791777452 0 0 0
39 2 1 42.880117377731295 5.800177798848296 -32.83201956117169 0 0 0
40 2 1 41.91563241739223 9.834131726182534 -35.6308968119343 0 0 0
41 2 1 45.02066185613684 13.69468528052353 -36.260661707796494 0 0 0
42 2 1 45.24764889147605 16.849512403448372 -40.14851932358253 0 0 0
43 2 1 47.57965555894033 21.24733571037646 -39.95377826880866 0 0 0
44 2 1 46.76994197599885 23.542986246592136 -35.5860042813829 0 0 0
45 2 1 48.49196175132731 23.61407793194043 -30.907082157594076 0 0 0
46 2 1 53.056443425851626 22.383382342412148 -29.256453069745355 0 0 0
47 2 1 54.96666562472399 25.747400591319277 -26.073989348911574 0 0 0
48 2 1 59.60695103222753 24.86216209171745 -24.45130198338918 0 0 0
49 3 1 59.91829952953853 -62.07789554893683 -13.620924745701366 0 0 0
50 3 1 60.27580551441929 -61.77660766174455 -8.65180973681727 0 0 0
51 3 1 62.9277553214726 -65.1424776452775 -6.086944513797846 0 0 0
52 3 1 60.299011038749654 -66.97383964891246 -9.945365862838713 0 0 0
53 3 1 62.229227309774984 -69.94250018483908 -13.487321957304047 0 0 0
54 3 1 66.07462462641027 -73.08678557182063 -14.147599455117188 0 0 0
55 3 1 62.86803249467252 73.42730480333577 -15.809277658250721 0 -1 0
56 3 1 66.69163492126168 70.96878179487581 -13.733790347910144 0 -1 0
57 3 1 68.33077134977594 72.82196283384334 -9.362712432636485 0 -1 0
58 3 1 67.553942917651 -72.42843631223147 -8.052809420912553 0 0 0
59 3 1 66.68038259672863 -68.70758265155312 -11.292405292882727 0 0 0
60 3 1 66.13167705247756 -70.22265233846588 -16.01987945059068 0 0 0
61 3 1 70.1109617490099 -73.22406722074886 -15.400885152282022 0 0 0
62 3 1 67.64319009100322 73.15358811526846 -12.983502273703714 0 -1 0
63 3 1 69.7148524271484 72.3044365346309 -17.4456591297562 0 -1 0
64 3 1 66.84418175117241 70.15252320579145 -20.937677826544586 0 -1 0
65 3 1 65.54139387842906 71.88474737707668 -25.43501232679163 0 -1 0
66 3 1 67.43885343544449 -74.09870464675082 -27.72663875151766 0 0 0
67 3 1 65.09371128993388 -72.06469682046958 -31.63010552935222 0 0 0
68 3 1 66.54978690758676 -73.85575849305697 -36.057247952151556 0 0 0
69 3 1 63.57211884696568 72.2749399345793 -35.006164019215305 0 -1 0
