# Time-averaged data for fix rot
# TimeStep c_rmatrix[1] c_rmatrix[2] c_rmatrix[3] c_rmatrix[4] c_rmatrix[5] c_rmatrix[6] c_rmatrix[7] c_rmatrix[8] c_rmatrix[9]
0 0.736976 -0.327985 -0.591009 0.591009 0.736976 0.327985 0.327985 -0.591009 0.736976
400000 0.649587 -0.289093 -0.70318 0.659957 0.673612 0.332721 0.377483 -0.6802 0.628359
800000 0.743904 -0.641942 0.185787 0.478222 0.70554 0.52299 -0.466809 -0.300207 0.831844
1200000 0.866403 0.266834 -0.422072 -0.450279 0.78287 -0.429375 0.215856 0.562062 0.798431
1600000 0.809173 0.249208 -0.532104 -0.528992 0.703155 -0.475122 0.255747 0.665934 0.700803
2000000 0.728786 0.224451 -0.64691 -0.620358 0.616369 -0.48502 0.289872 0.754792 0.588441
2400000 0.628626 0.193603 -0.753224 0.0176688 0.964713 0.262709 0.777507 -0.178454 0.603023
2800000 0.835357 0.498851 0.230926 -0.523464 0.59363 0.611219 0.167823 -0.631468 0.757023
3200000 0.817626 0.488263 0.305101 -0.541757 0.473061 0.694776 0.194901 -0.733358 0.651306
3600000 0.796761 -0.169812 -0.579944 0.0147752 0.964893 -0.262229 0.604113 0.200365 0.771298
4000000 0.741469 0.442784 0.504149 -0.590306 0.787672 0.176387 -0.319003 -0.428387 0.845412
4400000 0.674354 0.402705 0.618931 -0.628529 0.752972 0.194894 -0.387553 -0.520444 0.760882
4800000 0.58808 0.351184 0.728582 -0.671461 0.714171 0.197736 -0.450891 -0.605499 0.655796
5200000 0.642497 0.743957 -0.183646 -0.55993 0.619406 0.550285 0.52314 -0.250727 0.814531
5600000 0.821541 -0.339506 0.458046 0.509243 0.79823 -0.321715 -0.256402 0.497559 0.828669
6000000 0.758709 -0.31354 0.57101 0.573677 0.73688 -0.357634 -0.308634 0.598916 0.738949
6400000 0.673762 -0.278435 0.684484 0.647804 0.668215 -0.365839 -0.35552 0.6899 0.630589
6800000 0.767638 -0.61511 -0.179921 0.462683 0.726163 -0.508538 0.443459 0.307127 0.842032
7200000 0.880176 0.251714 0.402406 -0.429305 0.783799 0.448728 -0.202454 -0.567714 0.797943
7600000 0.826857 0.236466 0.510286 -0.508723 0.701338 0.499325 -0.23981 -0.672465 0.700202
8000000 0.750426 0.214608 0.625143 -0.602509 0.610973 0.513513 -0.271742 -0.762008 0.587793
8400000 0.652844 0.186701 0.734124 0.0205686 0.964423 -0.263562 -0.757213 0.187165 0.625778
8800000 0.603518 -0.4836 -0.633954 0.658417 0.750704 0.0541457 0.449727 -0.450084 0.771473
9200000 0.523236 -0.41927 -0.741914 0.670611 0.739776 0.0548876 0.525838 -0.526255 0.668244
9600000 0.8082 0.448161 -0.382053 -0.538577 0.824902 -0.171673 0.23822 0.344511 0.908055
