# Time-averaged data for fix rot
# TimeStep c_rmatrix[1] c_rmatrix[2] c_rmatrix[3] c_rmatrix[4] c_rmatrix[5] c_rmatrix[6] c_rmatrix[7] c_rmatrix[8] c_rmatrix[9]
0 0.736976 -0.327985 -0.591009 0.591009 0.736976 0.327985 0.327985 -0.591009 0.736976
10000 0.695693 -0.309613 -0.64819 0.62515 0.705424 0.334014 0.353834 -0.637587 0.684313
20000 0.649587 -0.289093 -0.70318 0.659957 0.673612 0.332721 0.377483 -0.6802 0.628359
30000 0.599777 -0.266926 -0.754333 0.693924 0.64291 0.324247 0.398419 -0.717925 0.570829
40000 0.743904 -0.641942 0.185787 0.478222 0.70554 0.52299 -0.466809 -0.300207 0.831844
50000 0.739453 -0.638101 0.214562 0.433217 0.694987 0.57386 -0.515299 -0.331391 0.790347
60000 0.866403 0.266834 -0.422072 -0.450279 0.78287 -0.429375 0.215856 0.562062 0.798431
70000 0.840604 0.258888 -0.475776 -0.487411 0.744671 -0.455957 0.236254 0.615177 0.752158
80000 0.809173 0.249208 -0.532104 -0.528992 0.703155 -0.475122 0.255747 0.665934 0.700803
90000 0.771847 0.237712 -0.589699 -0.573851 0.659804 -0.485132 0.273764 0.712847 0.645679
100000 0.728786 0.224451 -0.64691 -0.620358 0.616369 -0.48502 0.289872 0.754792 0.588441
110000 0.680659 0.209628 -0.701968 -0.666628 0.574609 -0.474797 0.303826 0.791126 0.530857
120000 0.628626 0.193603 -0.753224 0.0176688 0.964713 0.262709 0.777507 -0.178454 0.603023
130000 0.84119 0.502334 0.200148 -0.518593 0.644597 0.561744 0.153169 -0.576329 0.802736
140000 0.835357 0.498851 0.230926 -0.523464 0.59363 0.611219 0.167823 -0.631468 0.757023
150000 0.827672 0.494261 0.265829 -0.530926 0.536092 0.656295 0.181872 -0.684333 0.706124
160000 0.817626 0.488263 0.305101 -0.541757 0.473061 0.694776 0.194901 -0.733358 0.651306
170000 0.833938 -0.177735 -0.522453 0.511731 0.603459 0.61153 0.206589 -0.777333 0.5942
180000 0.796761 -0.169812 -0.579944 0.0147752 0.964893 -0.262229 0.604113 0.200365 0.771298
190000 0.767168 0.45813 0.448965 -0.574496 0.802066 0.16323 -0.285319 -0.383153 0.878514
200000 0.741469 0.442784 0.504149 -0.590306 0.787672 0.176387 -0.319003 -0.428387 0.845412
210000 0.71055 0.42432 0.561312 -0.608456 0.771176 0.187264 -0.353411 -0.474594 0.806139
220000 0.674354 0.402705 0.618931 -0.628529 0.752972 0.194894 -0.387553 -0.520444 0.760882
230000 0.633253 0.37816 0.675267 -0.649828 0.7337 0.198514 -0.420373 -0.564517 0.710357
240000 0.58808 0.351184 0.728582 -0.671461 0.714171 0.197736 -0.450891 -0.605499 0.655796
250000 0.540065 0.322511 0.777378 -0.692476 0.695244 0.192645 -0.478337 -0.642357 0.598808
260000 0.642497 0.743957 -0.183646 -0.55993 0.619406 0.550285 0.52314 -0.250727 0.814531
270000 0.844832 -0.349131 0.405421 0.482961 0.82371 -0.29707 -0.230233 0.446777 0.864513
280000 0.821541 -0.339506 0.458046 0.509243 0.79823 -0.321715 -0.256402 0.497559 0.828669
290000 0.792954 -0.327692 0.513656 0.539674 0.769059 -0.34249 -0.282801 0.548786 0.786675
300000 0.758709 -0.31354 0.57101 0.573677 0.73688 -0.357634 -0.308634 0.598916 0.738949
310000 0.718817 -0.297055 0.628538 0.6102 0.702798 -0.365694 -0.333104 0.646401 0.686446
320000 0.673762 -0.278435 0.684484 0.647804 0.668215 -0.365839 -0.35552 0.6899 0.630589
330000 0.624519 -0.258086 0.737135 0.684878 0.634617 -0.358054 -0.37539 0.728459 0.573088
340000 0.767638 -0.61511 -0.179921 0.462683 0.726163 -0.508538 0.443459 0.307127 0.842032
350000 0.763328 -0.611656 -0.207865 0.42 0.714363 -0.559719 0.490847 0.339946 0.802189
360000 0.880176 0.251714 0.402406 -0.429305 0.783799 0.448728 -0.202454 -0.567714 0.797943
370000 0.856255 0.244873 0.454823 -0.466624 0.744338 0.477727 -0.221559 -0.621288 0.751607
380000 0.826857 0.236466 0.510286 -0.508723 0.701338 0.499325 -0.23981 -0.672465 0.700202
390000 0.791586 0.226379 0.567578 -0.554537 0.656289 0.511637 -0.256671 -0.719748 0.645045
400000 0.750426 0.214608 0.625143 -0.602509 0.610973 0.513513 -0.271742 -0.762008 0.587793
410000 0.70385 0.201288 0.681233 -0.0176719 0.963677 -0.266485 -0.710129 0.175527 0.681841
420000 0.652844 0.186701 0.734124 0.0205686 0.964423 -0.263562 -0.757213 0.187165 0.625778
430000 0.63764 -0.510942 -0.5765 0.6527 0.755827 0.0520446 0.409143 -0.409467 0.815438
440000 0.603518 -0.4836 -0.633954 0.658417 0.750704 0.0541457 0.449727 -0.450084 0.771473
450000 0.565096 -0.452812 -0.689658 0.664472 0.745277 0.0551286 0.489023 -0.489411 0.722034
460000 0.523236 -0.41927 -0.741914 0.670611 0.739776 0.0548876 0.525838 -0.526255 0.668244
470000 0.479132 -0.383929 -0.789323 0.676563 0.734443 0.0534492 0.559192 -0.559636 0.611647
480000 0.8082 0.448161 -0.382053 -0.538577 0.824902 -0.171673 0.23822 0.344511 0.908055
490000 0.788322 0.437139 -0.432965 -0.553513 0.811149 -0.18884 0.26865 0.388519 0.881408
500000 0.763677 0.423473 -0.487308 -0.57134 0.794775 -0.204703 0.300614 0.434745 0.848898
510000 0.733802 0.406907 -0.544023 -0.591954 0.775897 -0.218116 0.333353 0.482091 0.810225
520000 0.698529 0.387347 -0.601681 -0.614939 0.754917 -0.227925 0.365934 0.529209 0.765526
530000 0.658095 0.364926 -0.65859 -0.639548 0.732537 -0.233168 0.397352 0.574647 0.715466
540000 0.613211 0.340036 -0.712985 -0.664779 0.709679 -0.233291 0.426663 0.617035 0.661232
550000 0.565021 0.313315 -0.763272 -0.689525 0.687345 -0.228282 0.453108 0.655279 0.604403
560000 0.669944 0.720332 0.179713 -0.549862 0.644077 -0.531805 -0.498825 0.257463 0.827579
570000 0.860636 -0.330259 -0.3876 0.461002 0.828625 0.317581 0.216291 -0.452006 0.865395
580000 0.838873 -0.321908 -0.438939 0.488101 0.801784 0.344819 0.240935 -0.503506 0.829718
590000 0.811954 -0.311578 -0.49361 0.519687 0.770936 0.368217 0.265813 -0.555497 0.787887
600000 0.779413 -0.299091 -0.550509 0.555257 0.73675 0.385861 0.29018 -0.606419 0.740305
610000 0.741113 -0.284394 -0.608171 0.593806 0.700351 0.39611 0.313282 -0.654697 0.687914
620000 0.697365 -0.267606 -0.664883 0.63389 0.663202 0.397928 0.334464 -0.698964 0.632126
630000 0.648982 -0.249039 -0.718889 0.673819 0.626887 0.391127 0.353256 -0.738236 0.574646
640000 0.597232 -0.229181 -0.768629 0.71193 0.592853 0.376407 0.369418 -0.772012 0.517231
650000 0.785929 -0.584785 0.200854 0.405456 0.732667 0.54663 -0.46682 -0.348174 0.812929
660000 0.78044 -0.580702 0.23173 0.595723 0.578132 -0.557564 0.189808 0.573192 0.797134
670000 0.87071 0.231222 -0.434051 -0.445795 0.743781 -0.498053 0.207678 0.627158 0.750695
680000 0.843359 0.223958 -0.488454 -0.488096 0.699457 -0.522036 0.224738 0.678677 0.699207
690000 0.810222 0.215159 -0.545204 -0.534514 0.652896 -0.536677 0.240491 0.726247 0.643995
700000 0.771117 0.204774 -0.602865 -0.58359 0.605897 -0.540659 0.254561 0.768737 0.586722
710000 0.726321 0.192878 -0.659739 -0.0149253 0.964021 0.265405 0.687194 -0.182923 0.703068
720000 0.676628 0.179682 -0.714065 0.0234395 0.964021 0.26479 0.735952 -0.195902 0.648072
